dim1,dim2,Cluster,clustered,topic_labels,topic_words,Language,topic_nr,top_word
-3.4379659,6.118471,0,True,da_1,"['flygtning', 'dkaid', 'syrisk', 'flygtningelejr', 'pa', 'syrien', 'unhcr', 'mio', 'menneske', 'million', 'flugt', 'liv', 'hjlp', 'fordrive', 'verden', 'jordan', 'hjlpe', 'wfp', 'situation', 'libanon']",da,1,situation
0.14510259,13.316364,2,True,da_2,"['fn', 'og', 'eu', 'europa', 'pa', 'land', 'indvandring', 'med', 'vi', 'af', 'politiker', 'kre', 'samarbejde', 'bad', 'folk', 'enig', 'dansk', 'befolkning', 'dansker', 'skulle']",da,2,befolkning
1.0126038,13.514303,2,True,da_3,"['fn', 'migranter', 'flygtning', 'dkpol', 'unhcr', 'via', 'hav', 'libyen', 'middelhav', 'sende', 'forhold', 'iflge', 'nromraderne', 'news', 'rejse', 'italien', 'plads', 'eupol', 'miste', 'hjem']",da,3,middelhav
-1.0528636,8.796246,0,True,da_4,"['være', 'sa', 'det', 'at', 'der', 'ikke', 'narre', 'en', 'vi', 'ogsa', 'som', 'du', 'vre', 'kunne', 'mene', 'godte', 'nok', 'for', 'jeg', 'gr']",da,4,mene
-3.3505785,6.0923457,0,True,da_5,"['flygtning', 'verden', 'arre', 'for', 'brn', 'og', 'dag', 'sttte', 'dkaid', 'tak', 'gar', 'flygtningebrn', 'ls', 'siden', 'vigtig', 'behov', 'bla', 'brug', 'covid19', 'sidste']",da,5,flygtning
-2.9979954,5.6386056,0,True,da_6,"['pa', 'flygtning', 'unhcr', 'og', 'dag', 'arbejde', 'flygtningeorganisation', 'sikre', 'unge', 'rapport', 'lejr', 'ls', 'global', 'withrefugees', 'unhcrs', 'fmdk', 'beskyttelse', 'vej', 'klare', 'beskytte']",da,6,withrefugees
2.3647678,10.11546,1,True,da_7,"['fns', 'dkpol', 'dansk', 'regering', 'fn', 'danmark', 'migrationspagt', 'kritik', 'nyhed', 'flygtningekonvention', 'flygtningehjkommissr', 'thorning', 'kritisere', 'dkmedier', 'gang', 'flygtningehjlp', 'usa', 'international', 'nytte', 'flygtningestrmmen']",da,7,flygtningestrmmen
-0.70376045,5.616208,0,True,da_8,"['migration', 'lkke', 'fnmigrationspagten', 'underskrive', 'aftale', 'global', 'pagt', 'df', 'compact', 'skrive', 'migrationspagt', 'om', 'debat', 'binde', 'dkmedier', 'politisk', 'befolkning', 'uden', 'marrakesh', 'avis']",da,8,migrationspagt
0.27442268,6.6053953,0,True,da_9,"['til', 'danmark', 'at', 'asyl', 'vre', 'land', 'stoppe', 'give', 'den', 'fa', 'penge', 'afvise', 'ville', 'hav', 'betale', 'imod', 'ma', 'via', 'bruge', 'dk']",da,9,betale
-1.6366897,7.037017,0,True,de_0,"['und', 'migrant', 'geben', 'migrationspakt', 'zu', 'werden', 'landen', 'lassen', 'wir', 'mussen', 'lander', 'von', 'nehmen', 'dafur', 'sicher', 'auf', 'illegal', 'bringen', 'grenzen', 'bekommen']",de,0,bekommen
1.2262197,14.248936,2,True,de_1,"['der', 'migrationspakt', 'werden', 'media', 'ein', 'deutsch', 'thema', 'volk', 'schweiz', 'fragen', 'stehen', 'finden', 'pakt', 'zielen', 'ware', 'migrationspaktes', 'berichten', 'leider', 'unomigrationspakt', 'geben']",de,1,migrationspaktes
-0.0075708977,8.001935,0,True,de_2,"['un', 'migration', 'global', 'europa', 'uno', 'pakt', 'eu', 'international', 'replacement', 'asyl', 'in', 'menschenrecht', 'planen', 'compact', 'geben', 'staat', 'sicher', 'kritik', 'legal', 'illegal']",de,2,replacement
2.361679,13.313615,2,True,de_3,"['der', 'migrationspakt', 'deutschland', 'merkel', 'fur', 'neu', 'europa', 'sehen', 'glauben', 'frau', 'politik', 'schaffen', 'drucken', 'soros', 'zeit', 'stellen', 'berlin', 'afrikaner', 'mit', 'kanzlerin']",de,3,deutschland
-2.933046,7.2681813,0,True,de_4,"['unhcr', 'mensch', 'fluchen', 'millionen', 'in', 'fluchtlinge', 'uber', 'weltweit', 'mio', 'zahlen', 'fluchtlingen', 'libyen', 'unofluchtlingshilfe', 'neu', 'kind', 'via', 'helfen', 'syrien', 'leben', 'kriegen']",de,4,fluchtlingen
-1.5165851,7.7580576,0,True,de_5,"['fluchtlingspakt', 'turkei', 'eu', 'via', 'erdogan', 'uber', 'drohen', 'griechenland', 'usa', 'news', 'fluchtlingslager', 'stimmen', 'fluchtlingskrise', 'seehofer', 'fluchtlingspakts', 'fordern', 'umsetzung', 'fluchten', 'mit', 'zeit']",de,5,fluchtlingspakt
0.5634188,7.433858,0,True,de_6,"['fluchtlinge', 'fur', 'un', 'unhcr', 'jahr', 'uno', 'deutschland', 'mittelmeer', 'laut', 'migrant', 'fordern', 'geld', 'vereinen', 'nationen', 'millionen', 'aufnehmen', 'hilfe', 'fluchtlingen', 'syrien', 'syrisch']",de,6,deutschland
1.8352015,14.396235,2,True,de_7,"['der', 'fur', 'uno', 'eu', 'sein', 'in', 'welt', 'deutschland', 'deutsch', 'von', 'uber', 'burger', 'bevolkerung', 'regierung', 'staat', 'aus', 'landern', 'gesetz', 'arm', 'interesse']",de,7,interesse
-1.8919057,5.9599423,0,True,de_8,"['migrationspakt', 'unmigrationspakt', 'osterreich', 'afd', 'uber', 'via', 'bitten', 'migrationspaktstoppen', 'unterschreiben', 'stoppen', 'petition', 'regierung', 'cdu', 'unterzeichnet', 'zuruck', 'ziehen', 'video', 'bundestag', 'unomigrationspakt', 'unterzeichnen']",de,8,unomigrationspakt
0.5471449,13.681157,2,True,de_9,"['der', 'sein', 'ein', 'sie', 'nicht', 'und', 'haben', 'ich', 'es', 'konnen', 'sagen', 'einfach', 'asyl', 'klar', 'jahr', 'lesen', 'fragen', 'sehen', 'werden', 'naturlich']",de,9,einfach
3.0244896,9.310706,-1,False,es_0,"['de', 'refugiado', 'acnur', 'venezolano', 'asilo', 'en', 'venezuela', 'migrante', 'persona', 'mundo', 'colombia', 'huir', 'crisis', 'apoyo', 'proteccion', 'humanitario', 'solicitante', 'violencia', 'ano', 'desplazar']",es,0,proteccion
1.7815542,14.383804,2,True,es_1,"['el', 'de', 'unir', 'nación', 'refugiado', 'para', 'agencia', 'en', 'del', 'organizacion', 'gobierno', 'traves', 'celebrar', 'oficina', 'consejo', 'poblacion', 'anuncio', 'objetivo', 'ciudad', 'organizar']",es,1,organizar
-1.4724091,5.353078,0,True,es_2,"['migracion', 'pacto', 'mundial', 'firmar', 'global', 'segurar', 'migratorio', 'presidente', 'ordenada', 'trump', 'regular', 'cumbre', 'firma', 'asamblea', 'republicar', 'video', 'desarrollo', 'mexicano', 'canciller', 'politicas']",es,2,politicas
-2.4644587,6.5294137,0,True,es_3,"['inmigrante', 'inmigracion', 'chile', 'querer', 'ilegal', 'politica', 'ley', 'chileno', 'bachelet', 'politicos', 'pinera', 'haitiano', 'negar', 'puesto', 'pobreza', 'descontrolar', 'negocio', 'extranjero', 'patria', 'traer']",es,3,inmigracion
-2.0275009,7.6980395,0,True,es_4,"['onu', 'derecho', 'mexico', 'internacional', 'migrante', 'espana', 'humano', 'persona', 'paises', 'plan', 'ddhh', 'europeo', 'mujer', 'vida', 'proteger', 'cambio', 'hablar', 'nacional', 'pedir', 'solidaridad']",es,4,solidaridad
-1.9686545,8.188923,0,True,es_5,"['onu', 'millón', 'mil', 'palestino', 'ayuda', 'crisis', 'llegar', 'europa', 'eeuu', 'ano', 'frontera', 'guerra', 'apoyar', 'ayudar', 'fondo', 'programa', 'secretario', 'masivo', 'oim', 'dolar']",es,5,palestino
0.33015203,13.524642,2,True,es_6,"['el', 'onu', 'refugiado', 'pedir', 'via', 'paises', 'noticia', 'inmigrante', 'de', 'ue', 'mundo', 'acoger', 'recibir', 'europa', 'criticar', 'sirio', 'rechazar', 'instar', 'exigir', 'recordar']",es,6,refugiado
0.38292494,8.180282,0,True,es_7,"['refugiado', 'acnur', 'sirio', 'millón', 'campo', 'ninos', 'cifra', 'alerta', 'mediterraneo', 'grecia', 'informe', 'denuncia', 'situacion', 'numerar', 'advertir', 'desplazar', 'escuela', 'centro', 'libano', 'condicionar']",es,7,condicionar
-2.4854102,6.4636364,0,True,es_8,"['comisionado', 'alto', 'representante', 'especial', 'comunidad', 'america', 'latinar', 'filippo', 'embajador', 'participar', 'jolie', 'alta', 'enviado', 'visita', 'angelino', 'regional', 'visitar', 'grandi', 'stein', 'junio']",es,8,comisionado
2.1050978,13.621307,2,True,es_9,"['el', 'de', 'que', 'él', 'no', 'ser', 'uno', 'en', 'gobierno', 'por', 'con', 'su', 'estar', 'problema', 'haber', 'seguir', 'gente', 'mas', 'dejar', 'para']",es,9,seguir
-0.7509875,6.310152,0,True,hu_0,"['migracios', 'csomag', 'szijjarto', 'magyarorszag', 'peter', 'migracio', 'kilep', 'kormany', 'folyamata', 'fogad', 'elarulasa', 'pontos', 'kilepeset', 'mond', 'europa', 'brazilia', 'globalis', 'javaslat', 'kulgazdasagi', 'embere']",hu,0,kilepeset
-1.8505723,6.783357,0,True,hu_1,"['migracios', 'csomag', '888hu', 'globalis', 'paktum', 'vesz', 'mar', 'bevandorlas', 'dokumentum', 'rossz', 'enszben', 'reszt', 'paktumat', 'rend', 'ala', 'jelen', 'paktuma', 'leheto', 'veszelyt', 'folyamat']",hu,1,dokumentum
1.4822453,13.614372,2,True,hu_2,"['az', 'europai', 'es', 'tesz', 'unios', 'orszagok', 'bizottsag', 'jogi', 'migraciot', 'akar', 'unio', 'kotelezo', 'kozpont', 'hogy', 'kotelezove', 'tagallamai', 'elmult', 'nem', 'paktuma', 'titok']",hu,2,migraciot
0.63182205,6.7331896,0,True,hu_3,"['magyar', 'orban', 'akar', 'nemzet', 'jog', 'emberi', 'politika', 'viktor', 'mar', 'migransnak', 'migrans', 'migracio', 'migransok', 'harc', 'szir', 'tobb', 'tud', 'enszben', 'elismer', 'van']",hu,3,migransok
0.72660726,6.974162,0,True,hu_4,"['menekult', 'menekulteke', 'tobb', 'millio', 'europaba', 'migrans', 'palesztin', 'iden', 'orszag', 'kozolte', 'az', 'migranst', 'afrikai', 'ujabb', 'foldkozitenger', 'europa', 'ota', 'jelen', 'ket', 'mintegy']",hu,4,menekulteke
-2.989782,7.196837,0,True,hu_5,"['migracios', 'csomagja', 'globalis', 'elfogad', 'kormany', 'neme', 'csatlakoz', 'parlament', 'tervezet', 'tamogatja', 'megallapodasat', 'merkel', 'cdu', 'ausztria', 'elutasitja', 'szavaz', 'part', 'kancellar', 'szlovakia', 'angela']",hu,5,elutasitja
1.02653,14.388098,2,True,hu_6,"['az', 'menekultugyi', 'es', 'unhcr', 'szervezet', 'magyarorszag', 'egyesult', 'nemzet', 'fobiztosanak', 'kormanyt', 'allamok', 'szovivoje', 'magyar', 'hivatala', 'felszolitotta', 'tart', 'usa', 'tovabb', 'friss', 'von']",hu,6,fobiztosanak
2.7688203,10.947184,-1,False,hu_7,"['menekultek', 'menekultugyi', 'fobiztossaga', 'unhcr', 'enszfotitkar', 'sziriai', 'fobiztosa', 'uj', 'menekult', 'adat', 'nyit', 'fotitkara', 'haza', 'befogad', 'tart', 'elott', 'guterres', 'szolitotta', 'magyarorszagi', 'antonio']",hu,7,enszfotitkar
-0.24270105,8.996073,0,True,hu_8,"['es', 'migracio', 'migransok', 'soros', 'brusszel', 'illegalis', 'eu', 'altal', 'gyorgy', 'kulfold', 'migraciot', 'fordul', 'bevandorlas', 'hirek', 'bankkartyak', 'nelkuli', 'az', 'erkezo', 'hirtv', 'bevandorlok']",hu,8,migraciot
0.44515672,7.0487123,0,True,hu_9,"['miniszter', 'fog', 'kulugyminiszter', 'mond', 'migracios', 'jelent', 'szolo', 'migraciorol', 'peter', 'new', 'migracio', 'fidesz', 'ad', 'lemond', 'javasol', 'kulgazdasagi', 'cimu', 'm1', 'menekultekrol', 'kocka']",hu,9,menekultekrol
-3.1348763,6.6960273,0,True,it_0,"['libia', 'migrare', 'libico', 'portare', 'sicuro', 'in', 'centro', 'detenzione', 'tunisia', 'ong', 'salvare', 'riportare', 'guardia', 'trafficante', 'lager', 'costiero', 'nave', 'tortura', 'sbarcare', 'oim']",it,0,detenzione
0.10671644,6.265984,0,True,it_1,"['nazione', 'unire', 'commissariare', 'migrazione', 'patto', 'global', 'firmare', 'lalto', 'compact', 'globale', 'della', 'alto', 'dellonu', 'dellalto', 'filippo', 'firma', 'petizione', 'uscire', 'conta', 'approvare']",it,1,migrazione
1.7379476,13.953806,2,True,it_2,"['il', 'stare', 'leuropa', 'bloccare', 'con', 'confine', 'aprire', 'flusso', 'condividere', 'arrivare', 'potere', 'aspettare', 'frontiera', 'nazionale', 'video', 'mettere', 'fermare', 'immigrato', 'articolo', 'notizia']",it,2,immigrato
-3.0295823,6.5995836,0,True,it_3,"['migrare', 'salvini', 'mandare', 'razzismo', 'violenza', 'allonu', 'personale', 'donna', 'incontrare', 'vertice', 'inviare', 'ispettore', 'ban', 'new', 'sole', 'renzi', 'difendere', 'razzista', 'atto', 'subire']",it,3,difendere
-3.191123,7.0132446,0,True,it_4,"['migrare', 'unhcr', 'morte', 'mediterraneo', 'mare', 'naufragio', 'libia', 'nel', 'via', 'disperso', 'sbarco', 'largo', 'lunhcr', 'vittima', 'tragedia', 'morire', 'almeno', 'arrivo', 'strage', 'iniziare']",it,4,naufragio
-1.0242653,5.15438,0,True,it_5,"['profugo', 'onu', 'campo', 'siriano', 'siria', 'campare', 'africo', 'lonu', 'guerra', 'libare', 'fondo', 'trump', 'palestinese', 'volere', 'uso', 'gestire', 'aiutare', 'tornare', 'turchia', 'raccolto']",it,5,raccolto
-2.8752632,6.242439,0,True,it_6,"['migrare', 'diritto', 'lonu', 'umano', 'del', 'internazionale', 'litalia', 'legge', 'salvini', 'rispettare', 'convenzione', 'italiana', 'violazione', 'sicurezza', 'decretare', 'viola', 'questione', 'tema', 'status', 'dirittiumani']",it,6,dirittiumani
1.7435685,14.117682,2,True,it_7,"['il', 'italiano', 'governo', 'del', 'volere', 'europeo', 'ministro', 'politica', 'popolare', 'estero', 'al', 'responsabilita', 'tutto', 'dellonu', 'cittadino', 'proteggere', 'accogliere', 'commissione', 'paese', 'povero']",it,7,commissione
-2.9390771,6.098249,0,True,it_8,"['migrare', 'lonu', 'onu', 'via', 'italia', 'ue', 'israele', 'accordare', 'africano', 'libia', 'francia', 'germania', 'laccordo', 'netanyahu', 'prevedere', 'collaborazione', 'minniti', 'accusa', 'smentire', 'uso']",it,8,prevedere
-3.0640223,7.082859,0,True,it_9,"['italia', 'in', 'migrare', 'unhcr', 'europa', 'arrivare', 'accogliere', 'grecia', 'via', 'sbarcare', 'arrivato', 'malta', 'retweeted', 'trovare', 'spagna', 'immigrato', 'leuropa', 'lavorare', 'domanda', 'lunhcr']",it,9,immigrato
1.2535195,14.291168,2,True,it_10,"['il', 'per', 'rifugiato', 'onu', 'lagenzia', 'agenzia', 'sostenere', 'nazioniunite', 'parola', 'raccontare', 'aiutare', 'lavoro', 'spiegare', 'della', 'dare', 'dellagenzia', 'migratorio', 'storia', 'riconoscere', 'uno']",it,10,riconoscere
2.033461,13.437442,2,True,it_11,"['che', 'il', 'non', 'essere', 'avere', 'sapere', 'volere', 'ce', 'vedere', 'potere', 'capire', 'venire', 'stare', 'lonu', 'nullo', 'dettare', 'si', 'fare', 'credere', 'uno']",it,11,venire
-0.25560617,6.083602,0,True,it_12,"['dovere', 'lonu', 'andare', 'litalia', 'problema', 'casa', 'intervenire', 'venire', 'potere', 'stare', 'pensare', 'prendere', 'soldo', 'fare', 'euro', 'lasciare', 'bisognare', 'vero', 'nn', 'risolvere']",it,12,risolvere
-0.2608122,6.29402,0,True,it_13,"['immigrato', 'soros', 'ong', 'limmigrazione', 'clandestino', 'carta', 'uno', 'boldrini', 'vero', 'da', 'finanziare', 'sinistra', 'litalia', 'immigrazione', 'ce', 'clandestina', 'falso', 'credito', 'soldo', 'organizzazione']",it,13,limmigrazione
-1.1624393,8.996336,0,True,it_14,"['rifugiato', 'lunhcr', 'chiedere', 'dellunhcr', 'aiutare', 'accoglienza', 'appellare', 'emergenza', 'protezione', 'portavoce', 'sostegno', 'assistenza', 'solidarieta', 'stampa', 'rischiare', 'fornire', 'comunita', 'bisognare', 'umanitario', 'situazione']",it,14,situazione
-1.1062608,5.1801662,0,True,it_15,"['onu', 'immigrazione', 'ue', 'migrazione', 'piano', 'servire', 'europeo', 'governo', 'crisi', 'immigrato', 'soluzione', 'volere', 'europa', 'italia', 'papa', 'politica', 'salvini', 'dallonu', 'rispondere', 'climatico']",it,15,rispondere
2.1541994,9.90575,1,True,it_16,"['di', 'il', 'uno', 'parlare', 'cercare', 'avere', 'migliaio', 'trattare', 'piu', 'leggere', 'potere', 'essere', 'lavoro', 'del', 'dare', 'continuo', 'massa', 'centinaio', 'continuare', 'contare']",it,16,centinaio
-1.2713122,9.041063,0,True,it_17,"['rifugiato', 'unhcr', 'rifugiare', 'mondiale', 'giornata', 'bambino', 'withrefugees', 'campagna', 'scuola', 'grazia', 'del', 'giugno', 'progettare', 'roma', 'premiare', 'presentare', 'uno', 'donare', 'celebrare', 'agenzia']",it,17,presentare
-1.4152691,9.172262,0,True,it_18,"['rifugiato', 'unhcr', 'asilo', 'umanitario', 'persona', 'guerra', 'richiedente', 'centrare', 'fuggire', 'lunhcr', 'corridoio', 'sud', 'causa', 'tripolare', 'costringere', 'ospitare', 'scappare', 'sudare', 'da', 'eritreo']",it,18,umanitario
-1.4586916,9.179116,0,True,it_19,"['unhcr', 'rifugiato', 'milione', 'persona', 'rapportare', 'fuga', 'numero', 'dato', 'sami', 'news', 'via', 'fonte', 'sfollato', 'popolazione', 'aumentare', 'emergenza', 'siria', 'record', 'siriano', 'meta']",it,19,rapportare
-0.80143774,8.442482,0,True,pl_0,"['si', 'imigrant', 'juz', 'teza', 'trump', 'usa', 'sa', 'wegry', 'wochy', 'nz', 'chca', 'maja', 'chwila', 'ostatni', 'ktorzy', 'imigracja', 'woch', 'ukraina', 'medium', 'niz']",pl,0,imigrant
-1.4026792,5.2956395,0,True,pl_1,"['prawo', 'ds', 'migrant', 'miedzynarodowy', 'uchodzcow', 'komisarz', 'czowieka', 'wysoki', 'zjednoczyć', 'organizacja', 'do', 'apelować', 'biuro', 'rada', 'prawa', 'iom', 'agencja', 'narodow', 'dzien', 'podstawowy']",pl,1,organizacja
2.4597797,12.4615755,2,True,pl_2,"['pakt', 'migracyjny', 'niemiec', 'merkel', 'sprawa', 'migracja', 'minister', 'angela', 'kanclerz', 'imigracyjny', 'zagraniczny', 'nacjonalizm', 'cdu', 'bundestag', 'przeciwnik', 'krytykować', 'baszczak', 'srode', 'ws', 'nalezy']",pl,2,krytykować
-0.51888734,5.8989725,0,True,pl_3,"['rok', 'osoba', 'azyl', 'mln', 'uchodzcy', 'wedug', 'raport', 'swiecie', 'dzis', 'liczba', 'byo', 'kryzys', 'wnioskow', 'wg', 'humanitarny', 'wynikać', 'pomoc', 'klimatyczny', 'człowiek', 'wojna']",pl,3,człowiek
-2.121098,7.055645,0,True,pl_4,"['unhcr', 'imigrant', 'uchodzcow', 'granica', 'grecja', 'migrant', 'ue', 'kryzys', 'uchodzcami', 'syria', 'migrantcrisis', 'uchodzcy', 'przyjmować', 'na', 'jestesmy', 'libia', 'humanitarny', 'ktorzy', 'grozić', 'apel']",pl,4,humanitarny
-2.4747503,7.251199,0,True,pl_5,"['europ', 'migrant', 'imigrant', 'unhcr', 'rok', 'morze', 'tys', 'srodziemny', 'przybyo', 'milion', 'raport', 'uchodzcow', 'mezczyzni', 'dotaro', 'poczatku', 'utoneo', 'tysiecy', 'libia', 'droga', 'styczeń']",pl,5,mezczyzni
0.15613571,8.391999,0,True,pl_6,"['ue', 'si', 'sa', 'na', 'imigracja', 'byc', 'informacja', 'maja', 'moga', 'musić', 'finansować', 'chca', 'pieniaga', 'strona', 'ktorych', 'uchodzcami', 'nielegalna', 'wspopraca', 'karty', 'ktorzy']",pl,6,wspopraca
-1.623721,5.6186833,0,True,pl_7,"['migrant', 'uchodzcow', 'uchodzcach', 'szczyt', 'prezydent', 'nowy', 'ekonomiczny', 'duda', 'przyjmować', 'powiedzieć', 'imigrant', 'andrzej', 'wojenny', 'sesja', 'jork', 'sytuacja', 'libia', 'forum', 'wiadomosci', 'dzień']",pl,7,wiadomosci
0.9033411,14.218446,2,True,pl_8,"['migracja', 'pakt', 'migration', 'un', 'the', 'pact', 'anda', 'of', 'willa', 'nota', 'is', 'podpisać', 'minister', 'europe', 'in', 'eu', 'sign', 'to', 'migracyjny', 'migrants']",pl,8,migration
2.4578726,9.755974,1,True,pl_9,"['migracyjny', 'si', 'przeciwić', 'pakt', 'rzad', 'odrzucać', 'imigracja', 'paktowy', 'imigracyjny', 'globalny', 'pakiet', 'poprzeć', 'kolejny', 'porozumienie', 'sowacja', 'wycofać', 'migracja', 'polski', 'nielegalnej', 'wieszwiecej']",pl,9,wieszwiecej
-1.1394881,8.237245,0,True,pl_10,"['imigrant', 'europ', 'do', 'si', 'afryka', 'niemiec', 'człowiek', 'europa', 'pomoc', 'milionow', 'wielki', 'migrant', 'fala', 'chcieć', 'bliski', 'sprowadzić', 'ostrzegać', 'francja', 'miejsce', 'organizować']",pl,10,sprowadzić
0.18616818,13.343482,2,True,pl_11,"['migracja', 'globalny', 'beda', 'si', 'rzecz', 'panstwa', 'na', 'masowy', 'bezpieczny', 'ktore', 'czas', 'dokument', 'porozumieć', 'legalny', 'pierwszy', 'ochrona', 'konferencja', 'dotyczac', 'forum', 'pakt']",pl,11,porozumieć
2.7005515,10.818062,1,True,pl_12,"['migracyjny', 'europejski', 'kryzys', 'szef', 'polityka', 'unia', 'sekretarz', 'cel', 'generalny', 'narodowy', 'nowy', 'msz', 'peter', 'imigracyjny', 'imigracja', 'dyplomacja', 'oswiadczy', 'wegierski', 'szijjarto', 'ue']",pl,12,dyplomacja
-0.2124475,5.861374,0,True,pl_13,"['ten', 'wiecej', 'mowi', 'polska', 'problem', 'sa', 'dziecko', 'temat', 'swiata', 'prawa', 'polskie', 'medium', 'juz', 'moze', 'maja', 'powinny', 'ktore', 'polske', 'niemcy', 'niz']",pl,13,niemcy
2.5777116,11.168412,-1,False,pl_14,"['migracyjny', 'pakt', 'podpisać', 'rzad', 'rzadu', 'pis', 'deklaracja', 'premier', 'marakeszu', 'rp', 'belgia', 'grudzień', 'stanowisko', 'moze', 'mama', 'koalicja', 'si', 'partia', 'premiera', 'belgijski']",pl,14,belgijski
0.05006648,6.0924015,0,True,pl_15,"['nie', 'to', 'kraj', 'chcieć', 'ktory', 'być', 'imigracja', 'ue', 'jesli', 'beda', 'nikt', 'migracja', 'mama', 'id', 'unijny', 'morawiecki', 'wszystek', 'swiata', 'kolejny', 'rozumieć']",pl,15,imigracja
1.7714247,13.460163,2,True,pl_16,"['polski', 'podpisać', 'migracja', 'pakt', 'dokument', 'global', 'sprawa', 'compact', 'marrakeszu', 'porozumienie', 'ws', 'gcm', 'grudzień', 'rzad', 'onzowski', 'for', 'swiatowo', 'zosta', 'podpisaa', 'deklaracja']",pl,16,deklaracja
2.2400486,13.775762,2,True,pl_17,"['pakt', 'usa', 'wegry', 'austria', 'polski', 'migracja', 'czechy', 'wegiera', 'bugaria', 'przystapi', 'takze', 'migracyjny', 'podpisza', 'kraj', 'australia', 'ws', 'chorwacja', 'zapowiedź', 'plan', 'onzowski']",pl,17,zapowiedź
1.2427285,13.394502,2,True,pl_18,"['migracja', 'pakt', 'sprawa', 'polski', 'panstw', 'ws', 'wiekszosc', 'swiatowy', 'poniedziaek', 'przyjea', 'czonkowskich', 'dokument', 'przyjety', 'migracyjny', 'zosta', 'ktory', 'przyjąć', 'rzad', 'zdecydowany', 'marrakesz']",pl,18,zdecydowany
-1.7967521,7.6904483,0,True,pl_19,"['izrael', 'imigrant', 'krajow', 'migrant', 'porozumieć', 'ws', 'afrykanskich', 'nielegalnych', 'sprawa', 'deportacja', 'netanjahu', 'tys', 'zachodni', 'ktore', 'si', 'premier', 'kraj', 'zawiesić', 'zostać', 'azylant']",pl,19,deportacja
-1.320249,6.3025312,0,True,sk_0,"['migrant', 'utecenecku', 'veľa', 'unhcr', 'svet', 'eu', 'utecencov']",sk,0,utecencov
