dim1,dim2,Cluster,clustered,topic_labels,topic_words,Language,topic_nr,top_word
2.5843372,11.012692,-1,False,cs_0,"['migrantu', 'rok', 'evropa', 'libye', 'tisic', 'letos', 'do', 'milión', 'italie', 'mori', 'izrael', 'recka', 'rodina', 'mor', 'turecký', 'afrika', 'ceka', 'zacatku', 'dorazit', 'rusko']",cs,0,dorazit
-1.696902,7.1854014,0,True,cs_1,"['uprchnout', 'komisare', 'unhcr', 'komisar', 'vysokeho', 'prava', 'urad', 'kritizovat', 'lidska', 'uradu', 'vysoky', 'zeman', 'porusovani', 'kampan', 'vracet', 'xenofob', 'pro', 'ukazovat', 'porusuje', 'systematicky']",cs,1,porusovani
2.9611447,9.349478,-1,False,cs_2,"['pomoc', 'uprchlikum', 'organizace', 'azyl', 'sef', 'agentura', 'eu', 'statu', 'kvuli', 'rada', 'hranice', 'recko', 'zada', 'humanitarni', 'penize', 'uprchlicky', 'tabor', 'spojit', 'mezinarodni', 'potrebuje']",cs,2,uprchlicky
-0.96179056,6.5730543,0,True,cs_3,"['uprchnout', 'milión', 'člověk', 'svete', 'syrie', 'unhcr', 'eurozpravycz', 'kvuli', 'pocet', 'refugees', 'domov', 'konflikt', 'un', 'tvrdi', 'vloni', 'dna', 'na', 'ctyri', 'vic', 'syria']",cs,3,uprchnout
2.93866,9.518389,1,True,cs_4,"['staty', 'krize', 'eu', 'migracni', 'musi', 'migranty', 'zeme', 'svet', 'evropa', 'vyzvat', 'evrope', 'varovat', 'uprchnout', 'rekl', 'cela', 'evropske', 'uprchlicke', 'prijmout', 'prostrednictvim', 'evropska']",cs,4,uprchlicke
0.9373379,13.671079,2,True,cs_5,"['globalni', 'migraci', 'pakt', 'uprchlicich', 'kompakt', 'pakty', 'legalni', 'nelegalni', 'globalniho', 'dokument', 'podepsat', 'odmita', 'rizene', 'bezpecne', 'pry', 'podepisovat', 'kompaktu', 'podporovat', 'pravne', 'zavazny']",cs,5,podporovat
1.1129577,13.636857,2,True,cs_6,"['pakt', 'migraci', 'vlada', 'babis', 'cesko', 'uprchlicich', 'globalni', 'ministr', 'cr', 'hlasovat', 'zahranici', 'premier', 'globalnim', 'globalnimu', 'rozhodnout', 'prostrednictvim', 'ceska', 'petricek', 'odstoupit', 'uvést']",cs,6,uprchlicich
0.9679848,6.848732,0,True,cs_7,"['migrace', 'migraci', 'madarsko', 'usa', 'pravo', 'země', 'politika', 'dohoda', 'republika', 'konference', 'zemich', 'mezinarodni', 'ceska', 'ceske', 'york', 'lidske', 'migracni', 'new', 'dokument', 'zakladni']",cs,7,konference
-1.7048825,6.8994617,0,True,cs_8,"['uprchnout', 'na', 'eu', 'migranti', 'deti', 'evropa', 'unhcr', 'via', 'zeme', 'země', 'prostrednictvim', 'moci', 'lide', 'dostat', 'uprchlickych', 'zeny', 'migranty', 'sám', 'hranice', 'sever']",cs,8,uprchlickych
0.28330502,8.762314,0,True,cs_9,"['být', 'ten', 'se', 'migrace', 'uprchlik', 'migranti', 'migrant', 'ted', 'jít', 'neco', 'za', 'nikdo', 'vsichni', 'zastavit', 'cr', 'lze', 'meli', 'nekdo', 'zdroj', 'maji']",cs,9,vsichni
-0.88372856,5.260371,0,True,da_0,"['den', 'pa', 'en', 'af', 'dk', 'kvoteflygtning', 'have', 'asylansgere', 'og', 'land', 'fa', 'modtage', 'del', 'imod', 'tale', 'br', 'hele', 'igen', 'tilbage', 'historie']",da,0,asylansgere
