,sk_0,sk_1,sk_2,sk_3,sk_4,pl_0,pl_1,pl_2,pl_3,pl_4,pl_5,pl_6,pl_7,pl_8,pl_9,pl_10,pl_11,pl_12,pl_13,pl_14,pl_15,pl_16,pl_17,pl_18,pl_19,sv_0,sv_1,sv_2,sv_3,sv_4,sv_5,sv_6,sv_7,sv_8,sv_9,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,sv_18,sv_19,da_0,da_1,da_2,da_3,da_4,da_5,da_6,da_7,da_8,da_9,it_0,it_1,it_2,it_3,it_4,it_5,it_6,it_7,it_8,it_9,it_10,it_11,it_12,it_13,it_14,it_15,it_16,it_17,it_18,it_19,cs_0,cs_1,cs_2,cs_3,cs_4,cs_5,cs_6,cs_7,cs_8,cs_9,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,hu_8,hu_9,nl_0,nl_1,nl_2,nl_3,nl_4,nl_5,nl_6,nl_7,nl_8,nl_9,nl_10,nl_11,nl_12,nl_13,nl_14,nl_15,nl_16,nl_17,nl_18,nl_19,de_0,de_1,de_2,de_3,de_4,de_5,de_6,de_7,de_8,de_9,de_10,de_11,de_12,de_13,de_14,de_15,de_16,de_17,de_18,de_19,es_0,es_1,es_2,es_3,es_4,es_5,es_6,es_7,es_8,es_9,es_10,es_11,es_12,es_13,es_14,es_15,es_16,es_17,es_18,es_19
2015,23.0,76.0,178.0,13.0,74.0,582.0,571.0,1123.0,353.0,294.0,240.0,1224.0,846.0,351.0,976.0,301.0,562.0,781.0,326.0,1154.0,141.0,188.0,675.0,488.0,980.0,4263.0,1384.0,2148.0,4201.0,1105.0,3040.0,442.0,2072.0,3242.0,2831.0,3000.0,12410.0,1491.0,1391.0,1951.0,2283.0,1451.0,1980.0,605.0,1880.0,6461,4536,2986,6005,6152,7591,2891,4223,4360,2707,1940.0,2853.0,4904.0,6656.0,1178.0,5784.0,4751.0,1747.0,5384.0,1674.0,6540.0,1718.0,1079.0,3347.0,1555.0,7247.0,2833.0,8350.0,3015.0,5374.0,563.0,378.0,785.0,655.0,488.0,603.0,1229.0,572.0,997.0,464.0,268.0,161.0,222.0,246.0,193.0,169.0,279.0,273.0,229.0,155.0,10857.0,5500.0,2568.0,2771.0,10916.0,2991.0,3448.0,1204.0,2839.0,6114.0,1705.0,3605.0,9526.0,2481.0,694.0,3259.0,5145.0,2522.0,8473.0,1514.0,5006.0,16031.0,21136.0,5167.0,6056.0,17802.0,7208.0,9947.0,12682.0,3658.0,2761.0,10833.0,12925.0,13256.0,5433.0,4684.0,5866.0,11934.0,11757.0,4889.0,6719.0,1642.0,6784.0,11311.0,6797.0,17559.0,13396.0,18766.0,28058.0,9155.0,13250.0,9447.0,17269.0,36320.0,19309.0,23670.0,6688.0,52378.0,25648.0,11528.0
2016,7.0,4.0,15.0,4.0,1.0,461.0,469.0,1325.0,294.0,283.0,347.0,959.0,376.0,358.0,1451.0,409.0,497.0,1191.0,767.0,1190.0,212.0,293.0,533.0,755.0,549.0,1942.0,691.0,2301.0,2312.0,577.0,1747.0,341.0,1835.0,2008.0,2109.0,6012.0,3742.0,959.0,1300.0,1833.0,875.0,1140.0,1089.0,787.0,1170.0,4208,4295,2587,7409,5605,5335,2433,3933,4233,3015,2150.0,3355.0,2724.0,4089.0,1496.0,3388.0,5251.0,2095.0,4173.0,1438.0,3613.0,930.0,1702.0,2973.0,1305.0,13676.0,2482.0,6347.0,3327.0,5314.0,491.0,401.0,767.0,568.0,662.0,500.0,720.0,495.0,777.0,1111.0,306.0,137.0,81.0,228.0,173.0,112.0,297.0,275.0,195.0,128.0,7847.0,4577.0,3309.0,4632.0,5286.0,3402.0,3743.0,1273.0,3477.0,5272.0,3961.0,2915.0,15920.0,3116.0,832.0,3026.0,7309.0,2713.0,8324.0,1805.0,5524.0,11617.0,12457.0,6327.0,7458.0,11155.0,7469.0,10979.0,14030.0,4361.0,3748.0,34813.0,9604.0,15303.0,5536.0,6522.0,11662.0,12855.0,13826.0,5056.0,11912.0,2671.0,6241.0,24689.0,16687.0,7448.0,117377.0,19736.0,13038.0,13113.0,17402.0,14344.0,73493.0,28446.0,26872.0,14727.0,14545.0,33488.0,16278.0,23719.0
2014,,2.0,3.0,1.0,1.0,31.0,42.0,67.0,52.0,19.0,23.0,27.0,19.0,29.0,29.0,21.0,19.0,25.0,259.0,14.0,17.0,17.0,5.0,65.0,9.0,1114.0,274.0,139.0,778.0,158.0,165.0,126.0,642.0,802.0,556.0,480.0,3575.0,337.0,380.0,324.0,488.0,1087.0,336.0,255.0,443.0,1064,732,378,1010,844,465,407,783,758,512,337.0,643.0,2738.0,1346.0,228.0,572.0,949.0,503.0,578.0,266.0,2928.0,222.0,383.0,995.0,295.0,1006.0,723.0,6306.0,694.0,1033.0,110.0,27.0,65.0,53.0,16.0,35.0,33.0,49.0,76.0,21.0,13.0,32.0,45.0,42.0,6.0,5.0,23.0,98.0,14.0,3.0,1102.0,730.0,430.0,410.0,655.0,416.0,686.0,120.0,465.0,1073.0,587.0,505.0,103.0,202.0,76.0,345.0,1247.0,404.0,493.0,169.0,1069.0,3084.0,1506.0,938.0,4062.0,3414.0,2029.0,1398.0,802.0,600.0,455.0,736.0,1332.0,2328.0,1111.0,977.0,690.0,2026.0,1464.0,506.0,876.0,155.0,299.0,1743.0,2124.0,11721.0,182.0,1216.0,1913.0,4537.0,2169.0,1912.0,911.0,3574.0,8696.0,1902.0,1090.0,5964.0,3066.0,1086.0
2017,,,,,,814.0,1600.0,1760.0,804.0,1277.0,1321.0,1941.0,1838.0,761.0,3811.0,505.0,517.0,1017.0,1467.0,2392.0,606.0,1531.0,2249.0,2501.0,2315.0,1372.0,751.0,2328.0,1415.0,822.0,653.0,354.0,1836.0,2196.0,1130.0,1759.0,2576.0,835.0,1405.0,1697.0,1139.0,1333.0,760.0,569.0,684.0,2723,2028,2225,3459,2875,3247,1767,2624,2467,2248,6937.0,4516.0,3301.0,6532.0,3174.0,2274.0,5050.0,2502.0,5355.0,3841.0,5829.0,2286.0,4155.0,3294.0,2262.0,4526.0,4074.0,8918.0,3742.0,6642.0,551.0,537.0,456.0,545.0,559.0,580.0,1066.0,413.0,408.0,557.0,118.0,94.0,114.0,112.0,114.0,117.0,114.0,135.0,99.0,133.0,5308.0,7256.0,5417.0,2705.0,4971.0,3078.0,9116.0,1981.0,3090.0,4647.0,5075.0,4053.0,4713.0,4998.0,1860.0,2857.0,9732.0,3633.0,5144.0,1899.0,4978.0,14004.0,8139.0,6339.0,5643.0,6699.0,7614.0,5154.0,4421.0,4300.0,5714.0,7946.0,6006.0,6521.0,4991.0,6347.0,7469.0,20344.0,13905.0,5021.0,4377.0,697.0,1818.0,5116.0,22261.0,5780.0,8445.0,5972.0,2743.0,4554.0,6633.0,8931.0,13669.0,20964.0,5096.0,8876.0,4054.0,14328.0,14314.0,22914.0
2018,,,,,,1332.0,3637.0,4565.0,4070.0,809.0,2223.0,2889.0,1093.0,1673.0,1822.0,1759.0,1092.0,833.0,453.0,1416.0,1928.0,1183.0,1030.0,2229.0,796.0,2415.0,2132.0,3122.0,2689.0,4071.0,1042.0,493.0,2322.0,3654.0,2378.0,1354.0,2232.0,2611.0,2922.0,2582.0,1916.0,3502.0,1078.0,2781.0,1632.0,1886,2196,4696,3179,2641,4081,2388,3467,2548,3211,9172.0,12526.0,3555.0,14158.0,13058.0,2150.0,7555.0,6154.0,6699.0,29506.0,11016.0,20880.0,16020.0,8112.0,11965.0,6914.0,9942.0,8576.0,3506.0,9095.0,1686.0,2171.0,1207.0,1167.0,936.0,831.0,609.0,703.0,932.0,1434.0,128.0,222.0,169.0,169.0,167.0,264.0,146.0,128.0,145.0,184.0,5415.0,10267.0,8368.0,5348.0,2544.0,5175.0,11925.0,7144.0,4437.0,9107.0,7187.0,6553.0,3853.0,16643.0,7720.0,4544.0,17153.0,5808.0,2848.0,3449.0,14558.0,20901.0,8047.0,10114.0,12015.0,7312.0,16778.0,11611.0,5677.0,24517.0,30602.0,7093.0,10539.0,7268.0,11288.0,14434.0,41115.0,22901.0,14840.0,20123.0,12395.0,261.0,3048.0,4119.0,11983.0,9902.0,2470.0,1976.0,6308.0,17561.0,13487.0,7168.0,9716.0,15557.0,6320.0,9608.0,13921.0,14967.0,1637.0,25048.0
2019,,,,,,834.0,1085.0,726.0,2625.0,273.0,1008.0,1109.0,471.0,1013.0,731.0,1795.0,352.0,688.0,230.0,637.0,883.0,804.0,609.0,942.0,211.0,1311.0,1313.0,4652.0,854.0,2963.0,495.0,1110.0,1687.0,2669.0,1200.0,1749.0,1265.0,2232.0,2024.0,2959.0,1486.0,3564.0,2569.0,2366.0,1301.0,2554,1994,3706,2339,2764,2336,1791,2342,2422,3411,7066.0,5492.0,1999.0,8307.0,11063.0,686.0,2479.0,4804.0,4331.0,16803.0,6243.0,27499.0,10184.0,4348.0,6915.0,5177.0,4291.0,9451.0,1811.0,4533.0,871.0,1352.0,546.0,781.0,547.0,787.0,494.0,490.0,363.0,1571.0,88.0,138.0,83.0,97.0,70.0,204.0,70.0,33.0,53.0,96.0,3276.0,4859.0,5106.0,7710.0,3021.0,3336.0,21466.0,7632.0,4431.0,10277.0,9528.0,4572.0,4899.0,19787.0,8547.0,4181.0,13099.0,3435.0,2385.0,2189.0,8966.0,22500.0,6325.0,5358.0,8998.0,3113.0,12413.0,6230.0,2033.0,14555.0,21509.0,12874.0,3551.0,3240.0,11436.0,9116.0,12368.0,8208.0,9777.0,14665.0,6306.0,373.0,1475.0,4578.0,8158.0,4475.0,5394.0,677.0,1516.0,15103.0,10738.0,8078.0,6729.0,5059.0,7181.0,7557.0,5492.0,2693.0,958.0,20643.0
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,1428,3681,1076,3404,1567,1611,2684,2312,2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
