,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
eu,1691.3948762683456,,,,1691.3948762683456,1691.3948762683456,1691.3948762683456,1691.3948762683456,,,1691.3948762683456,,,,,,,,,
flykting,933.4449319788644,,,,,,933.4449319788644,,,,933.4449319788644,,,,,,,,,
sverige,809.3639105127,,,,,809.3639105127,809.3639105127,,,,,,,,,,,,,809.3639105127
via,406.8534201834062,,,,,,,,,,,406.8534201834062,,,406.8534201834062,,,,,
asylsokande,298.4773916723325,,,,,,,,298.4773916723325,,,,,,,298.4773916723325,,,,
toa,287.75988267199125,,,,,,,287.75988267199125,,,,,,,,,,,,
nyhet,273.6582742144945,,,,,,,,,,,,,,,,,,,
eulander,265.1551806987641,,,,,,,,,,,,,,,,,,,265.1551806987641
miljon,262.5069881693283,,,,,,,,,,262.5069881693283,,,,,,,,,
tyskland,127.65922570780404,,,,,,,,,,,,,,,,,,,
antal,109.29514838372651,,,,,,,,,,,,,,,,,,,
per,106.2312782061267,,,,,,,,,,,,,,,,,,,
eko,106.10988084493307,,,,,,,,,,,,,,,,,,,
varlden,104.87510254217317,,,,,,,,,,,,,,,,,,,
ta,96.60727473193496,,,,,,,,,,,,,,,,,,,
overens,78.9353934007396,,,,,,,,,,,,,,,,,,,
toga,66.87173769466506,,,,,,,,,,,,,,,,,,,
fordela,66.81910747127309,,,,,,,,,,,,,,,,,,,
danmark,58.07779517125823,,,,,,,,,,,,,,,,,,,
capita,55.01643555619589,,,,,,,,,,,,,,,,,,,
ar,,1203.4229237475552,,,1203.4229237475552,1203.4229237475552,1203.4229237475552,,,,,,1203.4229237475552,,,,,,,
pa,,963.4139913535876,,,,,,,,963.4139913535876,,,963.4139913535876,,,,,,,
skola,,712.9907572466245,,,,,,,,,,,712.9907572466245,,,,,712.9907572466245,,712.9907572466245
kana,,487.6322494788433,,,487.6322494788433,487.6322494788433,,,,,,,487.6322494788433,,,,,487.6322494788433,,487.6322494788433
villa,,476.46014227044753,,,,,,,,,,,,,,,476.46014227044753,,,476.46014227044753
all,,438.05632061822274,,,,438.05632061822274,438.05632061822274,,,,,,,,,,,,,438.05632061822274
mena,,437.2699248788412,,,437.2699248788412,,437.2699248788412,,,,,,437.2699248788412,,,,,,,437.2699248788412
mana,,377.2774191896268,,,,,,,,,,,,,,,,,,
mycken,,355.1300440784702,,,355.1300440784702,,,355.1300440784702,,,,,355.1300440784702,,,,,355.1300440784702,,
fara,,344.75873555629755,,,,,,,,,,344.75873555629755,,,344.75873555629755,,,,,344.75873555629755
vada,,290.59393158033674,,,,,,,,,,,,,,,,,,
ge,,221.5978506604676,,,,221.5978506604676,,,221.5978506604676,,,,,,,,,,221.5978506604676,
da,,218.34692760401632,,,218.34692760401632,,,,,,,,,,,,,,,
varfor,,211.61933216509823,,211.61933216509823,,,,,,,,,,,,,,,,
nia,,176.27250518969788,,,,,,,,,,,,,,,,,,
gor,,168.57825306446983,,,,,,,,,,,,,,,,,,
vala,,152.54176048200765,,,,,152.54176048200765,,,,,,,,,,,,,
gora,,139.62870925723072,,,,,,,,,,,,,,,,,,
peng,,127.02023704981178,,,,,,,,,,,,,,,127.02023704981178,,,
saga,,95.69918162934128,,,,,,,,,,,,,,,,,,
lander,,,326.55749487796265,,,,,,,,,,,,,326.55749487796265,,,,
ansvar,,,225.8918715778813,,,,,,,,,,,,,,,,,225.8918715778813
lofven,,,200.02805375682013,,,,,,,,,,,,,,,,,
tvinga,,,191.426933019594,,,,,,,,,,,,,,,,,
ungern,,,165.9815021563505,,,,,,,,,,,,,,,,,
pol,,,131.30032188486018,,,,,,,,,,,,,,,,,
fn,,,127.08578452533855,,,,,,127.08578452533855,,,,,,,,,,,
skriva,,,119.28531363772892,119.28531363772892,,,,,,,,,,,,,,,,
ovriga,,,104.34730931565164,,,104.34730931565164,,,,,,,,,,,,,,
flyktingfragan,,,99.13766937768176,,,,,,,,,,,,,,,,,
infor,,,92.90230496288405,,,,,,,,,,,,,,,,,
kraver,,,77.68279647522526,,,,,,,,,,,,,,,,,
stefan,,,71.40537134542085,,,,,,,,,,,,,,,,,
led,,,68.79214936002606,,,,,,,,,,,,,,,,,
migrationspolitiken,,,68.23700948120859,,,,,,,,,,,,,,,,,
merkel,,,67.86988846663908,,,,,,,,,,,,,,,,,
vagrar,,,66.84052579459862,,,,,,,,,,,,,,,,,
landerna,,,66.75276924741682,,,,,,,,,,,,,,,,,
johansson,,,57.889920604580105,,,,,,,,,,,,,,,,,
nato,,,55.02216550865159,,,,,,,,,,,,,,,,,
svpol,,,,699.2748987281252,,,,,,,,,,,,,,,,
fran,,,,490.0585785012005,,,490.0585785012005,,,,,,,,,490.0585785012005,,,,490.0585785012005
migpol,,,,440.2957314909728,,,,,,,,,,,,,,,,
mota,,,,396.1808594779128,,,,,,,,,,,,,,,,
eupol,,,,248.75534404296545,,,,,,,,,,,,,,,,
flykta,,,,73.09336732304952,,,,,,,,,,,,,,,,
darfor,,,,70.42751228189078,,,,,,,,,,,,,,,,
agenda,,,,67.90181208190397,,,,,,,,,,,,,,,,
